,tickers,best_value,best_param
121,ED,1.1893319651537733,"{'r1': 15, 'ad': 6, 'limad': 14, 'wmean': 8, 'mc_ratio': 1.02}"
122,STZ,1.1880571478547695,"{'r1': 8, 'ad': 28, 'limad': 11, 'wmean': 9, 'mc_ratio': 1.3}"
123,CEG,2.5298526270122763,"{'r1': 6, 'ad': 11, 'limad': 16, 'wmean': 11, 'mc_ratio': 1.22}"
124,COO,1.48693550439132,"{'r1': 5, 'ad': 22, 'limad': 8, 'wmean': 12, 'mc_ratio': 1.02}"
125,CPRT,1.437461351022579,"{'r1': 12, 'ad': 20, 'limad': 11, 'wmean': 3, 'mc_ratio': 1.04}"
126,GLW,1.3991389394718916,"{'r1': 5, 'ad': 22, 'limad': 9, 'wmean': 4, 'mc_ratio': 1.02}"
127,CPAY,1.5184514816986177,"{'r1': 9, 'ad': 5, 'limad': 19, 'wmean': 11, 'mc_ratio': 1.49}"
128,CTVA,1.107832902695034,"{'r1': 7, 'ad': 28, 'limad': 15, 'wmean': 8, 'mc_ratio': 1.03}"
129,CSGP,1.3982427592910363,"{'r1': 6, 'ad': 16, 'limad': 13, 'wmean': 10, 'mc_ratio': 1.04}"
130,COST,1.5185442134785383,"{'r1': 9, 'ad': 23, 'limad': 3, 'wmean': 10, 'mc_ratio': 1.04}"
131,CTRA,1.1469535259124,"{'r1': 13, 'ad': 22, 'limad': 14, 'wmean': 9, 'mc_ratio': 1.01}"
132,CRWD,2.2719143656727563,"{'r1': 5, 'ad': 18, 'limad': 8, 'wmean': 12, 'mc_ratio': 1.4}"
133,CCI,1.439702142240989,"{'r1': 8, 'ad': 29, 'limad': 3, 'wmean': 3, 'mc_ratio': 1.47}"
134,CSX,1.2318971658002944,"{'r1': 11, 'ad': 11, 'limad': 11, 'wmean': 4, 'mc_ratio': 1.06}"
135,CMI,1.610802018334971,"{'r1': 13, 'ad': 6, 'limad': 20, 'wmean': 12, 'mc_ratio': 1.05}"
136,CVS,1.2085353744126843,"{'r1': 6, 'ad': 30, 'limad': 14, 'wmean': 7, 'mc_ratio': 1.27}"
137,DHR,1.199961020052324,"{'r1': 5, 'ad': 26, 'limad': 20, 'wmean': 10, 'mc_ratio': 1.1400000000000001}"
138,DRI,1.1873990977822866,"{'r1': 5, 'ad': 8, 'limad': 5, 'wmean': 7, 'mc_ratio': 1.02}"
139,DVA,1.908289333260534,"{'r1': 15, 'ad': 20, 'limad': 3, 'wmean': 12, 'mc_ratio': 1.06}"
140,DAY,1.4192260206920495,"{'r1': 7, 'ad': 21, 'limad': 19, 'wmean': 3, 'mc_ratio': 1.45}"
141,DECK,1.5202630952724083,"{'r1': 12, 'ad': 25, 'limad': 12, 'wmean': 8, 'mc_ratio': 1.19}"
142,DE,1.2916103183016545,"{'r1': 5, 'ad': 13, 'limad': 18, 'wmean': 7, 'mc_ratio': 1.3599999999999999}"
143,DELL,2.7519824350919113,"{'r1': 6, 'ad': 5, 'limad': 11, 'wmean': 10, 'mc_ratio': 1.11}"
144,DAL,2.197804027615168,"{'r1': 14, 'ad': 15, 'limad': 6, 'wmean': 6, 'mc_ratio': 1.04}"
145,DVN,1.5539491448626506,"{'r1': 7, 'ad': 16, 'limad': 20, 'wmean': 7, 'mc_ratio': 1.13}"
146,DXCM,1.4658156585541966,"{'r1': 15, 'ad': 8, 'limad': 15, 'wmean': 11, 'mc_ratio': 1.05}"
147,FANG,1.5395630154967834,"{'r1': 8, 'ad': 22, 'limad': 9, 'wmean': 6, 'mc_ratio': 1.19}"
148,DLR,1.2972609077619066,"{'r1': 8, 'ad': 11, 'limad': 16, 'wmean': 12, 'mc_ratio': 1.22}"
149,DFS,1.4268538341707633,"{'r1': 12, 'ad': 15, 'limad': 10, 'wmean': 3, 'mc_ratio': 1.03}"
150,DG,1.0978389712618577,"{'r1': 10, 'ad': 6, 'limad': 20, 'wmean': 4, 'mc_ratio': 1.01}"
151,DLTR,1.069004459758756,"{'r1': 8, 'ad': 24, 'limad': 2, 'wmean': 8, 'mc_ratio': 1.03}"
152,D,1.4209396503895089,"{'r1': 5, 'ad': 25, 'limad': 7, 'wmean': 8, 'mc_ratio': 1.02}"
153,DPZ,1.6038901859781283,"{'r1': 13, 'ad': 15, 'limad': 13, 'wmean': 11, 'mc_ratio': 1.06}"
154,DOV,1.4918304893318026,"{'r1': 7, 'ad': 11, 'limad': 14, 'wmean': 10, 'mc_ratio': 1.02}"
155,DOW,1.1786205177226805,"{'r1': 7, 'ad': 9, 'limad': 17, 'wmean': 8, 'mc_ratio': 1.31}"
156,DHI,1.793103355812384,"{'r1': 13, 'ad': 9, 'limad': 17, 'wmean': 10, 'mc_ratio': 1.1}"
157,DTE,1.2541387602154208,"{'r1': 13, 'ad': 29, 'limad': 5, 'wmean': 7, 'mc_ratio': 1.02}"
158,DUK,1.2561228783712393,"{'r1': 5, 'ad': 29, 'limad': 5, 'wmean': 6, 'mc_ratio': 1.1400000000000001}"
159,DD,1.5563231697824005,"{'r1': 5, 'ad': 29, 'limad': 9, 'wmean': 8, 'mc_ratio': 1.02}"
160,EMN,1.498170105979501,"{'r1': 11, 'ad': 22, 'limad': 9, 'wmean': 12, 'mc_ratio': 1.2}"
161,ETN,1.454944123649141,"{'r1': 14, 'ad': 30, 'limad': 14, 'wmean': 12, 'mc_ratio': 1.5}"
162,EBAY,1.2382862782568547,"{'r1': 13, 'ad': 29, 'limad': 9, 'wmean': 12, 'mc_ratio': 1.02}"
163,ECL,1.326816105003709,"{'r1': 11, 'ad': 25, 'limad': 2, 'wmean': 9, 'mc_ratio': 1.06}"
164,EIX,1.2761918254985718,"{'r1': 15, 'ad': 27, 'limad': 3, 'wmean': 12, 'mc_ratio': 1.03}"
165,EW,1.2457806693587543,"{'r1': 15, 'ad': 20, 'limad': 6, 'wmean': 11, 'mc_ratio': 1.06}"
166,EA,1.3912242705138886,"{'r1': 7, 'ad': 25, 'limad': 3, 'wmean': 7, 'mc_ratio': 1.08}"
167,ELV,1.1161938642756346,"{'r1': 13, 'ad': 15, 'limad': 13, 'wmean': 3, 'mc_ratio': 1.26}"
168,EMR,1.424243078809732,"{'r1': 13, 'ad': 16, 'limad': 11, 'wmean': 12, 'mc_ratio': 1.23}"
169,ENPH,1.7246691476918528,"{'r1': 15, 'ad': 27, 'limad': 13, 'wmean': 9, 'mc_ratio': 1.1400000000000001}"
170,ETR,1.3363562761052623,"{'r1': 14, 'ad': 27, 'limad': 9, 'wmean': 10, 'mc_ratio': 1.03}"
171,EOG,1.3804690314749777,"{'r1': 7, 'ad': 13, 'limad': 16, 'wmean': 7, 'mc_ratio': 1.18}"
172,EPAM,1.261004468008729,"{'r1': 11, 'ad': 18, 'limad': 11, 'wmean': 12, 'mc_ratio': 1.07}"
