,tickers,best_value,best_param
207,BEN,1.529193790238329,"{'r1': 29, 'ad': 5, 'limad': 18, 'wmean': 4}"
208,FCX,1.2833868346618391,"{'r1': 4, 'ad': 25, 'limad': 14, 'wmean': 10}"
209,GRMN,1.1062514654537903,"{'r1': 9, 'ad': 6, 'limad': 58, 'wmean': 9}"
210,IT,1.6414077220668324,"{'r1': 28, 'ad': 30, 'limad': 10, 'wmean': 7}"
211,GEHC,,
212,GEN,1.558591169277008,"{'r1': 10, 'ad': 22, 'limad': 22, 'wmean': 6}"
213,GNRC,1.205297934289077,"{'r1': 13, 'ad': 5, 'limad': 23, 'wmean': 9}"
214,GD,1.2462045305249074,"{'r1': 5, 'ad': 5, 'limad': 22, 'wmean': 6}"
215,GE,1.6718356081267327,"{'r1': 30, 'ad': 14, 'limad': 9, 'wmean': 10}"
216,GIS,1.3331936808045135,"{'r1': 5, 'ad': 4, 'limad': 43, 'wmean': 6}"
217,GM,1.2832624103276369,"{'r1': 19, 'ad': 19, 'limad': 12, 'wmean': 9}"
218,GPC,1.150429067114455,"{'r1': 3, 'ad': 11, 'limad': 37, 'wmean': 8}"
219,GILD,1.3887571377812375,"{'r1': 11, 'ad': 28, 'limad': 6, 'wmean': 9}"
220,GPN,1.3687604952649797,"{'r1': 22, 'ad': 3, 'limad': 35, 'wmean': 4}"
221,GL,1.1388261052500492,"{'r1': 11, 'ad': 7, 'limad': 23, 'wmean': 4}"
222,GS,1.7071656376901938,"{'r1': 3, 'ad': 24, 'limad': 7, 'wmean': 6}"
223,HAL,1.7009349284486566,"{'r1': 20, 'ad': 2, 'limad': 33, 'wmean': 10}"
224,HIG,1.2268057696068195,"{'r1': 2, 'ad': 12, 'limad': 22, 'wmean': 10}"
225,HAS,1.1556547809623234,"{'r1': 3, 'ad': 5, 'limad': 50, 'wmean': 5}"
226,HCA,1.2423976328883986,"{'r1': 4, 'ad': 30, 'limad': 20, 'wmean': 8}"
227,PEAK,1.242029168403894,"{'r1': 22, 'ad': 30, 'limad': 17, 'wmean': 6}"
228,HSIC,1.1136393831523594,"{'r1': 28, 'ad': 29, 'limad': 18, 'wmean': 6}"
229,HSY,1.123218301062807,"{'r1': 30, 'ad': 19, 'limad': 23, 'wmean': 6}"
230,HES,1.6404389075271641,"{'r1': 5, 'ad': 6, 'limad': 16, 'wmean': 8}"
231,HPE,1.0841290969840827,"{'r1': 3, 'ad': 16, 'limad': 24, 'wmean': 6}"
232,HLT,1.241552041461944,"{'r1': 11, 'ad': 2, 'limad': 28, 'wmean': 10}"
233,HOLX,1.1302792322605117,"{'r1': 25, 'ad': 2, 'limad': 37, 'wmean': 6}"
234,HD,1.2179049630682086,"{'r1': 29, 'ad': 26, 'limad': 20, 'wmean': 5}"
235,HON,1.4476015708911505,"{'r1': 14, 'ad': 4, 'limad': 39, 'wmean': 9}"
236,HRL,1.110270267665309,"{'r1': 2, 'ad': 21, 'limad': 28, 'wmean': 5}"
237,HST,1.5905741698421814,"{'r1': 2, 'ad': 9, 'limad': 8, 'wmean': 6}"
238,HWM,1.145558276421667,"{'r1': 20, 'ad': 4, 'limad': 60, 'wmean': 8}"
239,HPQ,1.1435484725409004,"{'r1': 8, 'ad': 29, 'limad': 16, 'wmean': 9}"
240,HUBB,1.3989869127941341,"{'r1': 22, 'ad': 17, 'limad': 2, 'wmean': 9}"
241,HUM,1.137332523567367,"{'r1': 7, 'ad': 26, 'limad': 18, 'wmean': 8}"
242,HBAN,1.3499351002678253,"{'r1': 25, 'ad': 18, 'limad': 15, 'wmean': 10}"
243,HII,1.361503654151293,"{'r1': 9, 'ad': 6, 'limad': 17, 'wmean': 7}"
244,IBM,1.8235012282153642,"{'r1': 10, 'ad': 9, 'limad': 16, 'wmean': 7}"
245,IEX,1.043171196791371,"{'r1': 8, 'ad': 6, 'limad': 63, 'wmean': 10}"
246,IDXX,1.422496329512895,"{'r1': 12, 'ad': 11, 'limad': 14, 'wmean': 9}"
247,ITW,1.301936078160153,"{'r1': 5, 'ad': 13, 'limad': 15, 'wmean': 5}"
248,ILMN,1.5941711339692393,"{'r1': 15, 'ad': 21, 'limad': 21, 'wmean': 9}"
249,INCY,1.4612483012006092,"{'r1': 10, 'ad': 7, 'limad': 22, 'wmean': 10}"
250,IR,1.4715430954267845,"{'r1': 29, 'ad': 12, 'limad': 2, 'wmean': 9}"
251,PODD,1.745698435099482,"{'r1': 14, 'ad': 15, 'limad': 6, 'wmean': 8}"
252,INTC,1.9065617124577516,"{'r1': 2, 'ad': 4, 'limad': 39, 'wmean': 4}"
253,ICE,1.2102924408795315,"{'r1': 27, 'ad': 27, 'limad': 2, 'wmean': 10}"
254,IFF,1.4386808857472841,"{'r1': 3, 'ad': 12, 'limad': 24, 'wmean': 4}"
255,IP,1.3188875190730553,"{'r1': 2, 'ad': 23, 'limad': 5, 'wmean': 5}"
256,IPG,1.2191349329769658,"{'r1': 26, 'ad': 12, 'limad': 9, 'wmean': 7}"
257,INTU,1.240898562632632,"{'r1': 30, 'ad': 14, 'limad': 17, 'wmean': 6}"
258,ISRG,1.7109520357857169,"{'r1': 27, 'ad': 3, 'limad': 11, 'wmean': 9}"
259,IVZ,1.79155894155949,"{'r1': 3, 'ad': 24, 'limad': 12, 'wmean': 9}"
260,INVH,1.2030804948438931,"{'r1': 2, 'ad': 25, 'limad': 6, 'wmean': 4}"
261,IQV,1.4083495469276925,"{'r1': 9, 'ad': 25, 'limad': 21, 'wmean': 4}"
262,IRM,1.598242700924057,"{'r1': 4, 'ad': 9, 'limad': 4, 'wmean': 7}"
263,JBHT,1.027041577522628,"{'r1': 21, 'ad': 20, 'limad': 26, 'wmean': 7}"
264,JBL,1.758896809729697,"{'r1': 27, 'ad': 11, 'limad': 8, 'wmean': 6}"
265,JKHY,1.5003168635446804,"{'r1': 6, 'ad': 8, 'limad': 20, 'wmean': 9}"
266,J,1.2191589664464806,"{'r1': 2, 'ad': 17, 'limad': 23, 'wmean': 6}"
267,JNJ,1.1005028728172142,"{'r1': 10, 'ad': 2, 'limad': 63, 'wmean': 7}"
268,JCI,1.1741804289158622,"{'r1': 14, 'ad': 9, 'limad': 14, 'wmean': 10}"
269,JPM,1.5398612506190823,"{'r1': 8, 'ad': 2, 'limad': 40, 'wmean': 9}"
270,JNPR,1.345028908789449,"{'r1': 16, 'ad': 8, 'limad': 21, 'wmean': 9}"
271,K,1.2098820967752335,"{'r1': 19, 'ad': 5, 'limad': 22, 'wmean': 4}"
272,KVUE,,
273,KDP,1.1542623448869413,"{'r1': 6, 'ad': 30, 'limad': 13, 'wmean': 6}"
274,KEY,1.3497834806256352,"{'r1': 14, 'ad': 2, 'limad': 9, 'wmean': 7}"
275,KEYS,1.3153203712375345,"{'r1': 11, 'ad': 8, 'limad': 41, 'wmean': 9}"
276,KMB,1.434382453652439,"{'r1': 13, 'ad': 23, 'limad': 16, 'wmean': 6}"
277,KIM,1.4808581240232663,"{'r1': 5, 'ad': 26, 'limad': 17, 'wmean': 7}"
278,KMI,1.3708641126152605,"{'r1': 3, 'ad': 3, 'limad': 26, 'wmean': 4}"
